"Name","desc_layer","R@1","_wandb"
"DINO_VLAD/l0_key_c128/Oxford/dino_vits8","0","0.06282722513089005",""
"DINO_VLAD/l1_key_c128/Oxford/dino_vits8","1","0.13089005235602094",""
"DINO_VLAD/l2_key_c128/Oxford/dino_vits8","2","0.16230366492146597",""
"DINO_VLAD/l3_key_c128/Oxford/dino_vits8","3","0.2617801047120419",""
"DINO_VLAD/l4_key_c128/Oxford/dino_vits8","4","0.4712041884816754",""
"DINO_VLAD/l5_key_c128/Oxford/dino_vits8","5","0.6649214659685864",""
"DINO_VLAD/l6_key_c128/Oxford/dino_vits8","6","0.7382198952879581",""
"DINO_VLAD/l7_key_c128/Oxford/dino_vits8","7","0.7801047120418848",""
"DINO_VLAD/l8_key_c128/Oxford/dino_vits8","8","0.6387434554973822",""
"DINO_VLAD/l9_key_c128/Oxford/dino_vits8","9","0.5706806282722513",""
"DINO_VLAD/l10_key_c128/Oxford/dino_vits8","10","0.4031413612565445",""
"DINO_VLAD/l11_key_c128/Oxford/dino_vits8","11","0.2774869109947644",""
