"Name","desc_layer","R@1","_wandb"
"DINO_V2_VLAD/l10_value_c32/baidu_datasets/dinov2_vitb14","10","0.7020069808027923",""
"DINO_V2_VLAD/l11_value_c32/baidu_datasets/dinov2_vitb14","11","0.6662303664921466",""
"DINO_V2_VLAD/l9_value_c32/baidu_datasets/dinov2_vitb14","9","0.6383071553228621",""
"DINO_V2_VLAD/l8_value_c32/baidu_datasets/dinov2_vitb14","8","0.6073298429319371",""
"DINO_V2_VLAD/l6_value_c32/baidu_datasets/dinov2_vitb14","6","0.5431937172774869",""
"DINO_V2_VLAD/l5_value_c32/baidu_datasets/dinov2_vitb14","5","0.5130890052356021",""
"DINO_V2_VLAD/l2_value_c32/baidu_datasets/dinov2_vitb14","2","0.4581151832460733",""
"DINO_V2_VLAD/l7_value_c32/baidu_datasets/dinov2_vitb14","7","0.4498254799301919",""
"DINO_V2_VLAD/l4_value_c32/baidu_datasets/dinov2_vitb14","4","0.4428446771378709",""
"DINO_V2_VLAD/l3_value_c32/baidu_datasets/dinov2_vitb14","3","0.4031413612565445",""
"DINO_V2_VLAD/l1_value_c32/baidu_datasets/dinov2_vitb14","1","0.33289703315881325",""
"DINO_V2_VLAD/l0_value_c32/baidu_datasets/dinov2_vitb14","0","0.20680628272251309",""
