"Name","desc_layer","R@1","_wandb"
"DINO_V2_VLAD/l21_value_c32/baidu_datasets/dinov2_vitl14","21","0.7286212914485166",""
"DINO_V2_VLAD/l23_value_c32/baidu_datasets/dinov2_vitl14","23","0.7094240837696335",""
"DINO_V2_VLAD/l20_value_c32/baidu_datasets/dinov2_vitl14","20","0.7037521815008726",""
"DINO_V2_VLAD/l22_value_c32/baidu_datasets/dinov2_vitl14","22","0.6849912739965096",""
"DINO_V2_VLAD/l19_value_c32/baidu_datasets/dinov2_vitl14","19","0.6679755671902269",""
"DINO_V2_VLAD/l16_value_c32/baidu_datasets/dinov2_vitl14","16","0.6204188481675392",""
"DINO_V2_VLAD/l18_value_c32/baidu_datasets/dinov2_vitl14","18","0.6173647469458988",""
"DINO_V2_VLAD/l17_value_c32/baidu_datasets/dinov2_vitl14","17","0.6095113438045375",""
"DINO_V2_VLAD/l15_value_c32/baidu_datasets/dinov2_vitl14","15","0.5519197207678883",""
"DINO_V2_VLAD/l14_value_c32/baidu_datasets/dinov2_vitl14","14","0.543630017452007",""
"DINO_V2_VLAD/l13_value_c32/baidu_datasets/dinov2_vitl14","13","0.5148342059336823",""
"DINO_V2_VLAD/l7_value_c32/baidu_datasets/dinov2_vitl14","7","0.4917102966841187",""
"DINO_V2_VLAD/l11_value_c32/baidu_datasets/dinov2_vitl14","11","0.4794938917975567",""
"DINO_V2_VLAD/l10_value_c32/baidu_datasets/dinov2_vitl14","10","0.4498254799301919",""
"DINO_V2_VLAD/l5_value_c32/baidu_datasets/dinov2_vitl14","5","0.44589877835951136",""
"DINO_V2_VLAD/l12_value_c32/baidu_datasets/dinov2_vitl14","12","0.4393542757417103",""
"DINO_V2_VLAD/l6_value_c32/baidu_datasets/dinov2_vitl14","6","0.4162303664921466",""
"DINO_V2_VLAD/l8_value_c32/baidu_datasets/dinov2_vitl14","8","0.3411867364746946",""
"DINO_V2_VLAD/l9_value_c32/baidu_datasets/dinov2_vitl14","9","0.28403141361256545",""
"DINO_V2_VLAD/l4_value_c32/baidu_datasets/dinov2_vitl14","4","0.27705061082024435",""
"DINO_V2_VLAD/l2_value_c32/baidu_datasets/dinov2_vitl14","2","0.256108202443281",""
"DINO_V2_VLAD/l1_value_c32/baidu_datasets/dinov2_vitl14","1","0.2534904013961606",""
"DINO_V2_VLAD/l3_value_c32/baidu_datasets/dinov2_vitl14","3","0.20113438045375215",""
"DINO_V2_VLAD/l0_value_c32/baidu_datasets/dinov2_vitl14","0","0.16404886561954624",""
