"Name","desc_layer","R@1","_wandb"
"DINO_V2_VLAD/l20_value_c32/Oxford/dinov2_vitl14","20","0.9214659685863874",""
"DINO_V2_VLAD/l21_value_c32/Oxford/dinov2_vitl14","21","0.8586387434554974",""
"DINO_V2_VLAD/l19_value_c32/Oxford/dinov2_vitl14","19","0.8219895287958116",""
"DINO_V2_VLAD/l23_value_c32/Oxford/dinov2_vitl14","23","0.7277486910994765",""
"DINO_V2_VLAD/l18_value_c32/Oxford/dinov2_vitl14","18","0.7277486910994765",""
"DINO_V2_VLAD/l17_value_c32/Oxford/dinov2_vitl14","17","0.7172774869109948",""
"DINO_V2_VLAD/l22_value_c32/Oxford/dinov2_vitl14","22","0.6963350785340314",""
"DINO_V2_VLAD/l16_value_c32/Oxford/dinov2_vitl14","16","0.581151832460733",""
"DINO_V2_VLAD/l14_value_c32/Oxford/dinov2_vitl14","14","0.4031413612565445",""
"DINO_V2_VLAD/l15_value_c32/Oxford/dinov2_vitl14","15","0.4031413612565445",""
"DINO_V2_VLAD/l12_value_c32/Oxford/dinov2_vitl14","12","0.4031413612565445",""
"DINO_V2_VLAD/l13_value_c32/Oxford/dinov2_vitl14","13","0.39267015706806285",""
"DINO_V2_VLAD/l11_value_c32/Oxford/dinov2_vitl14","11","0.387434554973822",""
"DINO_V2_VLAD/l9_value_c32/Oxford/dinov2_vitl14","9","0.3403141361256545",""
"DINO_V2_VLAD/l10_value_c32/Oxford/dinov2_vitl14","10","0.3298429319371728",""
"DINO_V2_VLAD/l5_value_c32/Oxford/dinov2_vitl14","5","0.20418848167539264",""
"DINO_V2_VLAD/l7_value_c32/Oxford/dinov2_vitl14","7","0.17801047120418848",""
"DINO_V2_VLAD/l4_value_c32/Oxford/dinov2_vitl14","4","0.17277486910994763",""
"DINO_V2_VLAD/l8_value_c32/Oxford/dinov2_vitl14","8","0.17277486910994763",""
"DINO_V2_VLAD/l6_value_c32/Oxford/dinov2_vitl14","6","0.16230366492146597",""
"DINO_V2_VLAD/l2_value_c32/Oxford/dinov2_vitl14","2","0.11518324607329844",""
"DINO_V2_VLAD/l3_value_c32/Oxford/dinov2_vitl14","3","0.08900523560209424",""
"DINO_V2_VLAD/l1_value_c32/Oxford/dinov2_vitl14","1","0.07853403141361257",""
"DINO_V2_VLAD/l0_value_c32/Oxford/dinov2_vitl14","0","0.05759162303664921",""
