"Name","desc_layer","R@1","_wandb"
"DINO_V2_VLAD/l10_value_c32/Oxford/dinov2_vits14","10","0.581151832460733",""
"DINO_V2_VLAD/l11_value_c32/Oxford/dinov2_vits14","11","0.5602094240837696",""
"DINO_V2_VLAD/l9_value_c32/Oxford/dinov2_vits14","9","0.4816753926701571",""
"DINO_V2_VLAD/l8_value_c32/Oxford/dinov2_vits14","8","0.4607329842931937",""
"DINO_V2_VLAD/l5_value_c32/Oxford/dinov2_vits14","5","0.35602094240837695",""
"DINO_V2_VLAD/l7_value_c32/Oxford/dinov2_vits14","7","0.3507853403141361",""
"DINO_V2_VLAD/l6_value_c32/Oxford/dinov2_vits14","6","0.29842931937172773",""
"DINO_V2_VLAD/l3_value_c32/Oxford/dinov2_vits14","3","0.25654450261780104",""
"DINO_V2_VLAD/l4_value_c32/Oxford/dinov2_vits14","4","0.225130890052356",""
"DINO_V2_VLAD/l0_value_c32/Oxford/dinov2_vits14","0","0.12041884816753928",""
"DINO_V2_VLAD/l1_value_c32/Oxford/dinov2_vits14","1","0.07329842931937172",""
"DINO_V2_VLAD/l2_value_c32/Oxford/dinov2_vits14","2","0.06282722513089005",""
