"Name","desc_layer","R@1","_wandb"
"DINO_VLAD/l0_key_c128/baidu_datasets/dino_vits8","0","0.2774869109947644",""
"DINO_VLAD/l1_key_c128/baidu_datasets/dino_vits8","1","0.28272251308900526",""
"DINO_VLAD/l2_key_c128/baidu_datasets/dino_vits8","2","0.28272251308900526",""
"DINO_VLAD/l3_key_c128/baidu_datasets/dino_vits8","3","0.3045375218150087",""
"DINO_VLAD/l4_key_c128/baidu_datasets/dino_vits8","4","0.399650959860384",""
"DINO_VLAD/l5_key_c128/baidu_datasets/dino_vits8","5","0.4201570680628272",""
"DINO_VLAD/l6_key_c128/baidu_datasets/dino_vits8","6","0.3468586387434555",""
"DINO_VLAD/l7_key_c128/baidu_datasets/dino_vits8","7","0.40095986038394416",""
"DINO_VLAD/l8_key_c128/baidu_datasets/dino_vits8","8","0.5087260034904014",""
"DINO_VLAD/l9_key_c128/baidu_datasets/dino_vits8","9","0.6086387434554974",""
"DINO_VLAD/l10_key_c128/baidu_datasets/dino_vits8","10","0.6548865619546248",""
"DINO_VLAD/l11_key_c128/baidu_datasets/dino_vits8","11","0.6326352530541012",""
