"Name","R@1","desc_layer"
"DINO_VLAD/l7_key_c128/Oxford_25m/dino_vits8","0.8010471204188482","7"
"DINO_VLAD/l6_key_c128/Oxford_25m/dino_vits8","0.7539267015706806","6"
"DINO_VLAD/l8_key_c128/Oxford_25m/dino_vits8","0.7068062827225131","8"
"DINO_VLAD/l5_key_c128/Oxford_25m/dino_vits8","0.6963350785340314","5"
"DINO_VLAD/l9_key_c128/Oxford_25m/dino_vits8","0.6492146596858639","9"
"DINO_VLAD/l4_key_c128/Oxford_25m/dino_vits8","0.5602094240837696","4"
"DINO_VLAD/l10_key_c128/Oxford_25m/dino_vits8","0.4450261780104712","10"
"DINO_VLAD/l3_key_c128/Oxford_25m/dino_vits8","0.34554973821989526","3"
"DINO_VLAD/l11_key_c128/Oxford_25m/dino_vits8","0.3089005235602094","11"
"DINO_VLAD/l2_key_c128/Oxford_25m/dino_vits8","0.2198952879581152","2"
"DINO_VLAD/l1_key_c128/Oxford_25m/dino_vits8","0.16230366492146597","1"
"DINO_VLAD/l0_key_c128/Oxford_25m/dino_vits8","0.07853403141361257","0"
