"Name","R@1","desc_layer"
"DINO_VLAD/l9_key_c128/pitts30k/dino_vits8","0.844043427230047","9"
"DINO_VLAD/l11_key_c128/pitts30k/dino_vits8","0.8254107981220657","11"
"DINO_VLAD/l10_key_c128/pitts30k/dino_vits8","0.8204225352112676","10"
"DINO_VLAD/l8_key_c128/pitts30k/dino_vits8","0.8167546948356808","8"
"DINO_VLAD/l7_key_c128/pitts30k/dino_vits8","0.7579225352112676","7"
"DINO_VLAD/l6_key_c128/pitts30k/dino_vits8","0.6985035211267606","6"
"DINO_VLAD/l5_key_c128/pitts30k/dino_vits8","0.6926349765258216","5"
"DINO_VLAD/l4_key_c128/pitts30k/dino_vits8","0.570862676056338","4"
"DINO_VLAD/l3_key_c128/pitts30k/dino_vits8","0.497212441314554","3"
"DINO_VLAD/l2_key_c128/pitts30k/dino_vits8","0.4226819248826291","2"
"DINO_VLAD/l1_key_c128/pitts30k/dino_vits8","0.28389084507042256","1"
"DINO_VLAD/l0_key_c128/pitts30k/dino_vits8","0.2098004694835681","0"
