"Name","desc_layer","R@1","_wandb"
"DINO_VLAD/l0_value_c128/baidu_datasets/dino_vits8","0","0.2395287958115183",""
"DINO_VLAD/l1_value_c128/baidu_datasets/dino_vits8","1","0.43760907504363",""
"DINO_VLAD/l2_value_c128/baidu_datasets/dino_vits8","2","0.506108202443281",""
"DINO_VLAD/l3_value_c128/baidu_datasets/dino_vits8","3","0.5287958115183246",""
"DINO_VLAD/l4_value_c128/baidu_datasets/dino_vits8","4","0.5802792321116929",""
"DINO_VLAD/l5_value_c128/baidu_datasets/dino_vits8","5","0.6121291448516579",""
"DINO_VLAD/l6_value_c128/baidu_datasets/dino_vits8","6","0.5898778359511344",""
"DINO_VLAD/l7_value_c128/baidu_datasets/dino_vits8","7","0.6409249563699826",""
"DINO_VLAD/l8_value_c128/baidu_datasets/dino_vits8","8","0.6561954624781849",""
"DINO_VLAD/l9_value_c128/baidu_datasets/dino_vits8","9","0.6845549738219895",""
"DINO_VLAD/l10_value_c128/baidu_datasets/dino_vits8","10","0.68717277486911",""
"DINO_VLAD/l11_value_c128/baidu_datasets/dino_vits8","11","0.681064572425829",""
