"Name","desc_layer","R@1","_wandb"
"DINO_VLAD/l0_value_c128/Oxford/dino_vits8","0","0.08376963350785341",""
"DINO_VLAD/l1_value_c128/Oxford/dino_vits8","1","0.16753926701570682",""
"DINO_VLAD/l2_value_c128/Oxford/dino_vits8","2","0.27225130890052357",""
"DINO_VLAD/l3_value_c128/Oxford/dino_vits8","3","0.24607329842931935",""
"DINO_VLAD/l4_value_c128/Oxford/dino_vits8","4","0.3193717277486911",""
"DINO_VLAD/l5_value_c128/Oxford/dino_vits8","5","0.2774869109947644",""
"DINO_VLAD/l6_value_c128/Oxford/dino_vits8","6","0.31413612565445026",""
"DINO_VLAD/l7_value_c128/Oxford/dino_vits8","7","0.4397905759162304",""
"DINO_VLAD/l8_value_c128/Oxford/dino_vits8","8","0.42408376963350786",""
"DINO_VLAD/l9_value_c128/Oxford/dino_vits8","9","0.46596858638743455",""
"DINO_VLAD/l10_value_c128/Oxford/dino_vits8","10","0.3507853403141361",""
"DINO_VLAD/l11_value_c128/Oxford/dino_vits8","11","0.3769633507853403",""
