"Name","desc_layer","R@1","_wandb"
"DINO_V2_VLAD/l36_value_c32/baidu_datasets/dinov2_vitg14","36","0.7334205933682374",""
"DINO_V2_VLAD/l35_value_c32/baidu_datasets/dinov2_vitg14","35","0.7286212914485166",""
"DINO_V2_VLAD/l39_value_c32/baidu_datasets/dinov2_vitg14","39","0.7277486910994765",""
"DINO_V2_VLAD/l33_value_c32/baidu_datasets/dinov2_vitg14","33","0.7260034904013961",""
"DINO_V2_VLAD/l37_value_c32/baidu_datasets/dinov2_vitg14","37","0.7242582897033158",""
"DINO_V2_VLAD/l38_value_c32/baidu_datasets/dinov2_vitg14","38","0.7159685863874345",""
"DINO_V2_VLAD/l31_value_c32/baidu_datasets/dinov2_vitg14","31","0.7150959860383944",""
"DINO_V2_VLAD/l32_value_c32/baidu_datasets/dinov2_vitg14","32","0.7137870855148342",""
"DINO_V2_VLAD/l29_value_c32/baidu_datasets/dinov2_vitg14","29","0.712478184991274",""
"DINO_V2_VLAD/l34_value_c32/baidu_datasets/dinov2_vitg14","34","0.7120418848167539",""
"DINO_V2_VLAD/l30_value_c32/baidu_datasets/dinov2_vitg14","30","0.7107329842931938",""
"DINO_V2_VLAD/l28_value_c32/baidu_datasets/dinov2_vitg14","28","0.7102966841186736",""
"DINO_V2_VLAD/l27_value_c32/baidu_datasets/dinov2_vitg14","27","0.6963350785340314",""
"DINO_V2_VLAD/l26_value_c32/baidu_datasets/dinov2_vitg14","26","0.6906631762652705",""
"DINO_V2_VLAD/l25_value_c32/baidu_datasets/dinov2_vitg14","25","0.6849912739965096",""
"DINO_V2_VLAD/l24_value_c32/baidu_datasets/dinov2_vitg14","24","0.6714659685863874",""
"DINO_V2_VLAD/l20_value_c32/baidu_datasets/dinov2_vitg14","20","0.6221640488656196",""
"DINO_V2_VLAD/l23_value_c32/baidu_datasets/dinov2_vitg14","23","0.6195462478184991",""
"DINO_V2_VLAD/l22_value_c32/baidu_datasets/dinov2_vitg14","22","0.5986038394415357",""
"DINO_V2_VLAD/l19_value_c32/baidu_datasets/dinov2_vitg14","19","0.5680628272251309",""
"DINO_V2_VLAD/l18_value_c32/baidu_datasets/dinov2_vitg14","18","0.5514834205933682",""
"DINO_V2_VLAD/l21_value_c32/baidu_datasets/dinov2_vitg14","21","0.5418848167539267",""
"DINO_V2_VLAD/l16_value_c32/baidu_datasets/dinov2_vitg14","16","0.5174520069808028",""
"DINO_V2_VLAD/l14_value_c32/baidu_datasets/dinov2_vitg14","14","0.5113438045375218",""
"DINO_V2_VLAD/l17_value_c32/baidu_datasets/dinov2_vitg14","17","0.5056719022687609",""
"DINO_V2_VLAD/l11_value_c32/baidu_datasets/dinov2_vitg14","11","0.4969458987783595",""
"DINO_V2_VLAD/l12_value_c32/baidu_datasets/dinov2_vitg14","12","0.4912739965095986",""
"DINO_V2_VLAD/l15_value_c32/baidu_datasets/dinov2_vitg14","15","0.4899650959860384",""
"DINO_V2_VLAD/l9_value_c32/baidu_datasets/dinov2_vitg14","9","0.48909249563699825",""
"DINO_V2_VLAD/l13_value_c32/baidu_datasets/dinov2_vitg14","13","0.4851657940663176",""
"DINO_V2_VLAD/l10_value_c32/baidu_datasets/dinov2_vitg14","10","0.4773123909249563",""
"DINO_V2_VLAD/l8_value_c32/baidu_datasets/dinov2_vitg14","8","0.4720767888307155",""
"DINO_V2_VLAD/l7_value_c32/baidu_datasets/dinov2_vitg14","7","0.45462478184991273",""
"DINO_V2_VLAD/l6_value_c32/baidu_datasets/dinov2_vitg14","6","0.4410994764397906",""
"DINO_V2_VLAD/l5_value_c32/baidu_datasets/dinov2_vitg14","5","0.4175392670157068",""
"DINO_V2_VLAD/l4_value_c32/baidu_datasets/dinov2_vitg14","4","0.3931064572425829",""
"DINO_V2_VLAD/l3_value_c32/baidu_datasets/dinov2_vitg14","3","0.3093368237347295",""
"DINO_V2_VLAD/l2_value_c32/baidu_datasets/dinov2_vitg14","2","0.23036649214659685",""
"DINO_V2_VLAD/l1_value_c32/baidu_datasets/dinov2_vitg14","1","0.21204188481675393",""
"DINO_V2_VLAD/l0_value_c32/baidu_datasets/dinov2_vitg14","0","0.20855148342059335",""
