"Name","desc_layer","R@1","_wandb"
"DINO_V2_VLAD/l11_value_c32/baidu_datasets/dinov2_vits14","11","0.6780104712041884",""
"DINO_V2_VLAD/l10_value_c32/baidu_datasets/dinov2_vits14","10","0.6422338568935427",""
"DINO_V2_VLAD/l6_value_c32/baidu_datasets/dinov2_vits14","6","0.6012216404886562",""
"DINO_V2_VLAD/l8_value_c32/baidu_datasets/dinov2_vits14","8","0.5728621291448517",""
"DINO_V2_VLAD/l9_value_c32/baidu_datasets/dinov2_vits14","9","0.5462478184991274",""
"DINO_V2_VLAD/l7_value_c32/baidu_datasets/dinov2_vits14","7","0.5174520069808028",""
"DINO_V2_VLAD/l4_value_c32/baidu_datasets/dinov2_vits14","4","0.4349912739965096",""
"DINO_V2_VLAD/l3_value_c32/baidu_datasets/dinov2_vits14","3","0.4223385689354276",""
"DINO_V2_VLAD/l2_value_c32/baidu_datasets/dinov2_vits14","2","0.3512216404886562",""
"DINO_V2_VLAD/l1_value_c32/baidu_datasets/dinov2_vits14","1","0.2931937172774869",""
"DINO_V2_VLAD/l5_value_c32/baidu_datasets/dinov2_vits14","5","0.2870855148342059",""
"DINO_V2_VLAD/l0_value_c32/baidu_datasets/dinov2_vits14","0","0.14223385689354276",""
